Timestamp,Rate of Successful Requests
2025-04-01 20:24:45.533,0
2025-04-01 20:25:00.533,12.425040966493443
2025-04-01 20:25:15.533,23.158914172369194
2025-04-01 20:25:30.533,31.580173639878126
2025-04-01 20:25:45.533,46.31782834473839
2025-04-01 20:26:00.533,69.47600377109978
2025-04-01 20:26:15.533,80.00351631361264
2025-04-01 20:26:30.533,94.36873057029504
2025-04-01 20:26:45.533,107.37275733150021
2025-04-01 20:27:00.533,120.07438857503772
2025-04-01 20:27:15.533,126.32155150936711
2025-04-01 20:27:30.533,130.53112483131662
2025-04-01 20:27:45.533,138.9534702591426
2025-04-01 20:28:00.533,155.7949401733394
2025-04-01 20:28:15.533,176.8495515600657
2025-04-01 20:28:30.533,195.09456472156918
2025-04-01 20:28:45.533,210.8860723960307
2025-04-01 20:29:00.533,229.4817362012702
2025-04-01 20:29:15.533,248.43109920667766
2025-04-01 20:29:30.533,265.2729384962373
2025-04-01 20:29:45.533,265.48182712961693
2025-04-01 20:30:00.533,263.1675940794352
2025-04-01 20:30:15.533,273.6957345606144
2025-04-01 20:30:30.533,269.4836125549762
2025-04-01 20:30:45.533,261.0636237315255
2025-04-01 20:31:00.533,252.6408941577228
2025-04-01 20:31:15.533,253.0146126395171
2025-04-01 20:31:30.533,256.2379600616164
2025-04-01 20:31:45.533,260.59389366376985
2025-04-01 20:32:00.533,282.1156421186255
2025-04-01 20:32:15.533,305.27601162154195
2025-04-01 20:32:30.533,311.59097368670365
2025-04-01 20:32:45.533,320.01405047937794
2025-04-01 20:33:00.533,324.2224713552057
2025-04-01 20:33:15.533,327.0324611298059
2025-04-01 20:33:30.533,317.55556337477
2025-04-01 20:33:45.533,323.1685581725169
2025-04-01 20:34:00.533,324.223040187516
2025-04-01 20:34:15.533,317.1110390274197
2025-04-01 20:34:30.533,317.9070069371098
2025-04-01 20:34:45.533,326.32952966440695
2025-04-01 20:35:00.533,326.82664944962784
2025-04-01 20:35:15.533,334.6912852470981
2025-04-01 20:35:30.533,328.43430524490674
2025-04-01 20:35:45.533,338.9616478818097
2025-04-01 20:36:00.533,330.5379062276669
2025-04-01 20:36:15.533,335.3649978244698
2025-04-01 20:36:30.533,345.6764997947289
2025-04-01 20:36:45.533,330.5408095008105
2025-04-01 20:37:00.533,322.1182719945006
2025-04-01 20:37:15.533,320.01290541524526
2025-04-01 20:37:30.533,304.31700872665255
2025-04-01 20:37:45.533,286.3283477354311
2025-04-01 20:38:00.533,288.43117302361486
2025-04-01 20:38:15.533,303.1711917198682
2025-04-01 20:38:30.533,295.80387864173895
2025-04-01 20:38:45.533,296.85460440439596
2025-04-01 20:39:00.533,303.96665268433054
2025-04-01 20:39:15.533,301.06531540418615
2025-04-01 20:39:30.533,295.68457211004954
2025-04-01 20:39:45.533,292.1461348062259
2025-04-01 20:40:00.533,280.0704588598156
2025-04-01 20:40:15.533,303.17068937102965
2025-04-01 20:40:30.533,330.53905127961633
2025-04-01 20:40:45.533,346.93099545978964
2025-04-01 20:41:00.533,349.48657480709994
2025-04-01 20:41:15.533,341.0669922944124
2025-04-01 20:41:30.533,344.4898907245564
2025-04-01 20:41:45.533,347.38244193354745
2025-04-01 20:42:00.533,347.3818287723385
