Timestamp,Rate of Failed Requests
2025-03-28 14:57:00.509,0
2025-03-28 14:57:15.509,0
2025-03-28 14:57:30.509,0
2025-03-28 14:57:45.509,0
2025-03-28 14:58:00.509,0
2025-03-28 14:58:15.509,0
2025-03-28 14:58:30.509,0
2025-03-28 14:58:45.509,0
2025-03-28 14:59:00.509,0
2025-03-28 14:59:15.509,0
2025-03-28 14:59:30.509,0
2025-03-28 14:59:45.509,0
2025-03-28 15:00:00.509,0
2025-03-28 15:00:15.509,0
2025-03-28 15:00:30.509,0
2025-03-28 15:00:45.509,0
2025-03-28 15:01:00.509,0
2025-03-28 15:01:15.509,0
2025-03-28 15:01:30.509,0
2025-03-28 15:01:45.509,0
2025-03-28 15:02:00.509,0
2025-03-28 15:02:15.509,0
2025-03-28 15:02:30.509,0
2025-03-28 15:02:45.509,0
2025-03-28 15:03:00.509,0
2025-03-28 15:03:15.509,0
2025-03-28 15:03:30.509,0
2025-03-28 15:03:45.509,0
2025-03-28 15:04:00.509,0
2025-03-28 15:04:15.509,0
2025-03-28 15:04:30.509,0
2025-03-28 15:04:45.509,0
2025-03-28 15:05:00.509,0
2025-03-28 15:05:15.509,0
2025-03-28 15:05:30.509,0
2025-03-28 15:05:45.509,0
2025-03-28 15:06:00.509,0
2025-03-28 15:06:15.509,0
2025-03-28 15:06:30.509,0
2025-03-28 15:06:45.509,0
2025-03-28 15:07:00.509,0
2025-03-28 15:07:15.509,0
2025-03-28 15:07:30.509,0
2025-03-28 15:07:45.509,0
2025-03-28 15:08:00.509,0
2025-03-28 15:08:15.509,0
2025-03-28 15:08:30.509,0
2025-03-28 15:08:45.509,0
2025-03-28 15:09:00.509,0
2025-03-28 15:09:15.509,0
2025-03-28 15:09:30.509,0
2025-03-28 15:09:45.509,0
2025-03-28 15:10:00.509,0
2025-03-28 15:10:15.509,0
2025-03-28 15:10:30.509,0
2025-03-28 15:10:45.509,0
2025-03-28 15:11:00.509,0
2025-03-28 15:11:15.509,0
2025-03-28 15:11:30.509,0
2025-03-28 15:11:45.509,0
2025-03-28 15:12:00.509,0
2025-03-28 15:12:15.509,0
2025-03-28 15:12:30.509,0
2025-03-28 15:12:45.509,0
2025-03-28 15:13:00.509,0
2025-03-28 15:13:15.509,0
2025-03-28 15:13:30.509,0
2025-03-28 15:13:45.509,0
2025-03-28 15:14:00.509,0
2025-03-28 15:14:15.509,0
2025-03-28 15:14:30.509,0
2025-03-28 15:14:45.509,0
2025-03-28 15:15:00.509,0
2025-03-28 15:15:15.509,0
2025-03-28 15:15:30.509,0
2025-03-28 15:15:45.509,0
2025-03-28 15:16:00.509,0
2025-03-28 15:16:15.509,0
2025-03-28 15:16:30.509,0
2025-03-28 15:16:45.509,0
2025-03-28 15:17:00.509,0
2025-03-28 15:17:15.509,0
2025-03-28 15:17:30.509,0
2025-03-28 15:17:45.509,0
2025-03-28 15:18:00.509,0
2025-03-28 15:18:15.509,0
2025-03-28 15:18:30.509,0
2025-03-28 15:18:45.509,0
2025-03-28 15:19:00.509,0
2025-03-28 15:19:15.509,0
2025-03-28 15:19:30.509,0
2025-03-28 15:19:45.509,0
2025-03-28 15:20:00.509,0
2025-03-28 15:20:15.509,0
2025-03-28 15:20:30.509,0
2025-03-28 15:20:45.509,0
2025-03-28 15:21:00.509,0
2025-03-28 15:21:15.509,0
2025-03-28 15:21:30.509,0
2025-03-28 15:21:45.509,0
2025-03-28 15:22:00.509,0
2025-03-28 15:22:15.509,0
2025-03-28 15:22:30.509,0
2025-03-28 15:22:45.509,0
2025-03-28 15:23:00.509,0
2025-03-28 15:23:15.509,0
2025-03-28 15:23:30.509,0
2025-03-28 15:23:45.509,0
2025-03-28 15:24:00.509,0
2025-03-28 15:24:15.509,0
2025-03-28 15:24:30.509,0
2025-03-28 15:24:45.509,0
2025-03-28 15:25:00.509,0
2025-03-28 15:25:15.509,0
2025-03-28 15:25:30.509,0
2025-03-28 15:25:45.509,0
2025-03-28 15:26:00.509,0
2025-03-28 15:26:15.509,0
2025-03-28 15:26:30.509,0
2025-03-28 15:26:45.509,0
2025-03-28 15:27:00.509,0
2025-03-28 15:27:15.509,0
2025-03-28 15:27:30.509,0
2025-03-28 15:27:45.509,0
2025-03-28 15:28:00.509,0
2025-03-28 15:28:15.509,0
2025-03-28 15:28:30.509,0
2025-03-28 15:28:45.509,0
2025-03-28 15:29:00.509,0
2025-03-28 15:29:15.509,0
2025-03-28 15:29:30.509,0
2025-03-28 15:29:45.509,0
2025-03-28 15:30:00.509,0
2025-03-28 15:30:15.509,0
2025-03-28 15:30:30.509,0
2025-03-28 15:30:45.509,0
2025-03-28 15:31:00.509,0
2025-03-28 15:31:15.509,0
2025-03-28 15:31:30.509,0
2025-03-28 15:31:45.509,0
2025-03-28 15:32:00.509,0
2025-03-28 15:32:15.509,0
2025-03-28 15:32:30.509,0
2025-03-28 15:32:45.509,0
2025-03-28 15:33:00.509,0
2025-03-28 15:33:15.509,0
2025-03-28 15:33:30.509,0
2025-03-28 15:33:45.509,0
2025-03-28 15:34:00.509,0
2025-03-28 15:34:15.509,0
2025-03-28 15:34:30.509,0
2025-03-28 15:34:45.509,0
2025-03-28 15:35:00.509,0
2025-03-28 15:35:15.509,0
2025-03-28 15:35:30.509,0
2025-03-28 15:35:45.509,0
2025-03-28 15:36:00.509,0
2025-03-28 15:36:15.509,0
2025-03-28 15:36:30.509,0
2025-03-28 15:36:45.509,0
2025-03-28 15:37:00.509,0
2025-03-28 15:37:15.509,0
2025-03-28 15:37:30.509,0
2025-03-28 15:37:45.509,0
2025-03-28 15:38:00.509,0
2025-03-28 15:38:15.509,0
2025-03-28 15:38:30.509,0
2025-03-28 15:38:45.509,0
2025-03-28 15:39:00.509,0
2025-03-28 15:39:15.509,0
2025-03-28 15:39:30.509,0
2025-03-28 15:39:45.509,0
2025-03-28 15:40:00.509,0
2025-03-28 15:40:15.509,0
2025-03-28 15:40:30.509,0
2025-03-28 15:40:45.509,0
2025-03-28 15:41:00.509,0
2025-03-28 15:41:15.509,0
2025-03-28 15:41:30.509,0
2025-03-28 15:41:45.509,0
2025-03-28 15:42:00.509,0
2025-03-28 15:42:15.509,0
2025-03-28 15:42:30.509,0
2025-03-28 15:42:45.509,0
2025-03-28 15:43:00.509,0
2025-03-28 15:43:15.509,0
2025-03-28 15:43:30.509,0
2025-03-28 15:43:45.509,0
2025-03-28 15:44:00.509,0
2025-03-28 15:44:15.509,0
2025-03-28 15:44:30.509,0
2025-03-28 15:44:45.509,0
2025-03-28 15:45:00.509,0
2025-03-28 15:45:15.509,0
2025-03-28 15:45:30.509,0
2025-03-28 15:45:45.509,0
2025-03-28 15:46:00.509,0
2025-03-28 15:46:15.509,0
2025-03-28 15:46:30.509,0
2025-03-28 15:46:45.509,0
2025-03-28 15:47:00.509,0
2025-03-28 15:47:15.509,0
2025-03-28 15:47:30.509,0
2025-03-28 15:47:45.509,0
2025-03-28 15:48:00.509,0
2025-03-28 15:48:15.509,0
2025-03-28 15:48:30.509,0
2025-03-28 15:48:45.509,0
2025-03-28 15:49:00.509,0
2025-03-28 15:49:15.509,0
2025-03-28 15:49:30.509,0
2025-03-28 15:49:45.509,0
2025-03-28 15:50:00.509,0
2025-03-28 15:50:15.509,0
2025-03-28 15:50:30.509,0
2025-03-28 15:50:45.509,0
2025-03-28 15:51:00.509,0
2025-03-28 15:51:15.509,0
2025-03-28 15:51:30.509,0
2025-03-28 15:51:45.509,0
2025-03-28 15:52:00.509,0
2025-03-28 15:52:15.509,0
2025-03-28 15:52:30.509,0
2025-03-28 15:52:45.509,0
2025-03-28 15:53:00.509,0
2025-03-28 15:53:15.509,0
2025-03-28 15:53:30.509,0
2025-03-28 15:53:45.509,0
2025-03-28 15:54:00.509,0
2025-03-28 15:54:15.509,0
2025-03-28 15:54:30.509,0
2025-03-28 15:54:45.509,0
